Tweet,Fallacy Evaluation
This is sad. I have many friends and family with whom I disagree politically. Refusing to engage outside of your bubble is neither healthy nor unifying. https://t.co/TtJbghRLKx,"**No** - The message does not contain a Slippery Slope fallacy. It expresses concern about the lack of political engagement and its potential impact on relationships and unity. However, it does not suggest that a small action (refusing to engage outside of one's political bubble) will lead to a series of increasingly severe consequences without providing evidence for such a progression. The argument is more about the importance of open dialogue and understanding rather than predicting a chain of negative outcomes."
"@DLoesch When libs are pushing to overthrow a legally elected president, undermine our Republic and it's heritage, cram ideological perversities down our throats, and all with an air of self-righteous, moral superiority the time for engaging has passed. 1/2","**Yes** - The message contains a Slippery Slope fallacy because it suggests that if liberals are pushing certain political agendas, it will inevitably lead to the overthrow of a legally elected president, the undermining of the Republic and its heritage, and the imposition of ideological perversions. This argument assumes a chain of events without providing evidence for the inevitability of this progression, thus committing the fallacy of slippery slope by exaggerating the consequences of the initial action."
@RobertL78 @DLoesch Legality is question of his legitimacy as president . We already know gop with kris kobach purg… https://t.co/sXzXZE0Fwr,"No, this message does not contain a Slippery Sloar fallacy. The statement is discussing the legitimacy of a president and referencing political figures and actions, but it does not suggest that a small action will lead to a series of worsening consequences without providing evidence for such a progression. It is more of a political opinion or argument rather than a logical fallacy."
@caldwellrobby3 @DLoesch Or maybe the exit polls were manipulated like many of the polls which predicted an overwhelming victory for HRC.,"**No** - The message does not contain a Slippery Slope fallacy. It raises a concern about the integrity of exit polls and their prediction of a victory for HRC, which is a separate issue from a chain of events leading to an extreme outcome without sufficient evidence. The argument presented does not suggest that one action (manipulation of polls) will lead to a series of worsening consequences."
"@caldwellrobby3 @DLoesch You must mean by ""purged"" that those ineligible to vote were purged. We now know that vote… https://t.co/HqBT2qETaO",**No** - The message does not contain a Slippery Slope fallacy. It is discussing a specific action (purging ineligible voters) and referencing a realization or discovery about that action. There is no argument presented that suggests a small action will lead to a series of worsening consequences without evidence to support such a progression.
"@RobertL78 @DLoesch When I say purged , I mean . Kris kobach and 32 other gop controlled states would purge legit v… https://t.co/NZVIG4IsKE",**No** - The message does not contain a Slippery Slope fallacy. It appears to be a statement about a political action (purging in certain states) and does not suggest that this action will lead to a series of increasingly severe consequences without providing evidence for such a progression. The statement is more of a claim or opinion about a specific political event rather than a logical argument with a slippery slope progression.
@caldwellrobby3 @DLoesch Are you saying those voters were Dems exclusively? There is a lot of evidence of fraud lik… https://t.co/ZoChNHNMso,**No** - The message does not contain a Slippery Slope fallacy. It appears to be a question or a statement about voters' political affiliations and potential evidence of fraud. There is no argument presented that suggests a small action will lead to a series of worsening consequences without sufficient evidence for that progression.
@RobertL78 @DLoesch There is only a handful of cases of fraud in the last ten years . It’s not nearly as bad as gop… https://t.co/gwDKVeH3P7,**No** - The message does not contain a Slippery Slope fallacy. It is simply stating a fact about the number of fraud cases in the last ten years and comparing it to a different issue (presumably related to the GOP). There is no argument presented that suggests a small action will lead to a series of worsening consequences without providing evidence for such a progression.
"@caldwellrobby3 @DLoesch Ok. Read both conservative and liberal sources like New Rep., HuffPo, Amer. Progress Actio… https://t.co/bOIUfjZb3c","**No** - The message provided does not contain a Slippery Slope fallacy. It appears to be a call to read various sources from different political perspectives, which is a suggestion for balanced information consumption rather than an argument that one action will lead to a series of negative consequences without evidence."
@caldwellrobby3 @DLoesch 2. Some Repub laws excessive like prohibiting prereg. for minors turning 18 at voting time… https://t.co/EhzOkTvD4u,"**No** - The message does not contain a Slippery Slope fallacy. It expresses concern about a specific law related to preregistration for minors turning 18 at voting time, without suggesting that this action will lead to a series of increasingly severe consequences without evidence. The argument seems to be about the potential impact of a single policy change rather than a chain reaction of events."
@caldwellrobby3 @DLoesch 4. Nat'l Voter ID will not disenfranchise anyone any more than requiring welfare recipient… https://t.co/Fo8WPNI7JZ,"**No** - The message does not contain a Slippery Slope fallacy. It presents a comparison between National Voter ID laws and welfare recipient requirements without suggesting that one action will lead to a series of worsening consequences without evidence. The argument seems to be about the potential impact of these policies on different groups, rather than predicting an unjustified chain of events."
